Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Midsommar,2019,R,148 min,"Drama, Horror, Mystery",Ari Aster,"Florence Pugh,Jack Reynor,Vilhelm Blomgren,William Jackson Harper",7.1,72,320595
Luckiest Girl Alive,2022,R,113 min,"Drama, Mystery, Thriller",Mike Barker,"Mila Kunis,Chiara Aurelia,Finn Wittrock,Connie Britton",6.4,54,39347
Drishyam 2,2022,,140 min,"Crime, Drama, Mystery",Abhishek Pathak,"Ajay Devgn,Tabu,Akshaye Khanna,Shriya Saran",8.9,,13792
Ant-Man and the Wasp: Quantumania,2023,,,"Action, Adventure, Comedy",Peyton Reed,"Paul Rudd,Evangeline Lilly,Jonathan Majors,Kathryn Newton",,,
Killers of the Flower Moon,2023,,,"Crime, Drama, History",Martin Scorsese,"Leonardo DiCaprio,Robert De Niro,Lily Gladstone,Jesse Plemons",,,
Decision to Leave,2022,,139 min,"Crime, Drama, Mystery",Park Chan-wook,"Park Hae-il,Tang Wei,Lee Jung-hyun,Go Kyung-Pyo",7.3,84,15954
Rorschach,2022,,150 min,"Action, Mystery, Thriller",Nissam Basheer,"Mammootty,Asif Ali,Jagadish,Bindu Panikkar",7.3,,3620
Puss in Boots: The Last Wish,2022,PG,100 min,"Animation, Adventure, Comedy",Joel Crawford,"Januel Mercado,Antonio Banderas,Salma Hayek,Harvey Guillén,Florence Pugh",,,
Death on the Nile,2022,PG-13,127 min,"Crime, Drama, Mystery",Kenneth Branagh,"Tom Bateman,Annette Bening,Kenneth Branagh,Russell Brand",6.3,52,145206
Hellraiser,2022,R,121 min,"Horror, Mystery, Thriller",David Bruckner,"Odessa A’zion,Jamie Clayton,Adam Faison,Drew Starkey",6,55,32413
Lou,I 2022,R,107 min,"Action, Crime, Drama",Anna Foerster,"Allison Janney,Jurnee Smollett,Logan Marshall-Green,Ridley Asha Bateman",6.1,51,22348
Blade Runner 2049,2017,R,164 min,"Action, Drama, Mystery",Denis Villeneuve,"Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista",8,81,568723
Eyes Wide Shut,1999,R,159 min,"Drama, Mystery, Thriller",Stanley Kubrick,"Tom Cruise,Nicole Kidman,Todd Field,Sydney Pollack",7.5,68,342190
Get Out,I 2017,R,104 min,"Horror, Mystery, Thriller",Jordan Peele,"Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener",7.7,85,606063
Last Night in Soho,2021,R,116 min,"Drama, Horror, Mystery",Edgar Wright,"Thomasin McKenzie,Anya Taylor-Joy,Matt Smith,Diana Rigg",7.1,65,135965
Se7en,1995,R,127 min,"Crime, Drama, Mystery",David Fincher,"Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker",8.6,65,1642108
Scream,I 2022,R,114 min,"Horror, Mystery, Thriller",Matt Bettinelli-Olpin,"Tyler Gillett,Neve Campbell,Courteney Cox,David Arquette,Melissa Barrera",6.3,60,111316
The VVitch: A New-England Folktale,2015,R,92 min,"Drama, Fantasy, Horror",Robert Eggers,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Julian Richings",6.9,83,263176
Prisoners,2013,R,153 min,"Crime, Drama, Mystery",Denis Villeneuve,"Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo",8.1,70,708036
Zootopia,2016,PG,108 min,"Animation, Adventure, Comedy",Byron Howard,"Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,Idris Elba,Jenny Slate",8,78,498020
Constantine,2005,R,121 min,"Action, Fantasy, Horror",Francis Lawrence,"Keanu Reeves,Rachel Weisz,Djimon Hounsou,Shia LaBeouf",7,50,348312
Jeepers Creepers: Reborn,2022,R,88 min,"Horror, Mystery, Thriller",Timo Vuorensola,"Sydney Craven,Imran Adams,Jarreau Benjamin,Peter Brooke",2.5,,7412
Shutter Island,2010,R,138 min,"Mystery, Thriller",Martin Scorsese,"Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley",8.2,63,1305479
Mr. Harrigan's Phone,2022,PG-13,104 min,"Drama, Horror, Mystery",John Lee Hancock,"Donald Sutherland,Jaeden Martell,Joe Tippett,Colin O'Brien",6,55,25805
Scream 6,2023,,,"Horror, Mystery, Thriller",Matt Bettinelli-Olpin,"Tyler Gillett,Melissa Barrera,Jenna Ortega,Courteney Cox,Jasmin Savoy Brown",,,
Hereditary,2018,R,127 min,"Drama, Horror, Mystery",Ari Aster,"Toni Collette,Milly Shapiro,Gabriel Byrne,Alex Wolff",7.3,87,315418
Fast X,2023,,,"Action, Crime, Mystery",Louis Leterrier,"Jason Momoa,Charlize Theron,Alan Ritchson,Helen Mirren",,,
Sita Ramam,2022,,163 min,"Action, Drama, Mystery",Hanu Raghavapudi,"Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,Sumanth",8.6,,45309
Harry Potter and the Chamber of Secrets,2002,PG,161 min,"Adventure, Family, Fantasy",Chris Columbus,"Daniel Radcliffe,Rupert Grint,Emma Watson,Richard Harris",7.4,63,633290
The Green Mile,1999,R,189 min,"Crime, Drama, Fantasy",Frank Darabont,"Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt",8.6,61,1294541
Harry Potter and the Goblet of Fire,2005,PG-13,157 min,"Adventure, Family, Fantasy",Mike Newell,"Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Sykes",7.7,81,624771
The Prestige,2006,PG-13,130 min,"Drama, Mystery, Sci-Fi",Christopher Nolan,"Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine",8.5,66,1326979
The Pale Blue Eye,2022,R,128 min,"Crime, Horror, Mystery",Scott Cooper,"Christian Bale,Gillian Anderson,Lucy Boynton,Harry Melling",,,
Harry Potter and the Prisoner of Azkaban,2004,PG,142 min,"Adventure, Family, Fantasy",Alfonso Cuarón,"Daniel Radcliffe,Emma Watson,Rupert Grint,Richard Griffiths",7.9,82,632379
Suspiria,I 2018,R,152 min,"Drama, Fantasy, Horror",Luca Guadagnino,"Chloë Grace Moretz,Tilda Swinton,Doris Hick,Malgorzata Bela",6.7,64,79272
Gone Girl,2014,R,149 min,"Drama, Mystery, Thriller",David Fincher,"Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry",8.1,79,978512
The Chalk Line,2022,,106 min,"Horror, Mystery, Thriller",Ignacio Tatay,"Elena Anaya,Pablo Molinero,Eva Tennear,Eva Llorach",6,,4150
Arrival,II 2016,PG-13,116 min,"Drama, Mystery, Sci-Fi",Denis Villeneuve,"Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg",7.9,81,692255
