Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Kantara,2022,,148 min,"Action, Adventure, Drama",Rishab Shetty,"Rishab Shetty,Sapthami Gowda,Kishore Kumar G.,Achyuth Kumar",9,,68626
Paradise City,2022,R,92 min,"Action, Thriller",Chuck Russell,"Bruce Willis,John Travolta,Stephen Dorff,Amber Abara",3.6,29,647
Violent Night,2022,R,101 min,"Action, Comedy, Crime",Tommy Wirkola,"Beverly D'Angelo,David Harbour,John Leguizamo,Cam Gigandet",,,
The School for Good and Evil,2022,PG-13,147 min,"Action, Comedy, Drama",Paul Feig,"Kit Young,Sophia Anne Caruso,Cate Blanchett,Liam Woon",5.8,30,22689
The Batman,2022,PG-13,176 min,"Action, Crime, Drama",Matt Reeves,"Robert Pattinson,Zoë Kravitz,Jeffrey Wright,Colin Farrell",7.9,72,624648
Top Gun,1986,PG,110 min,"Action, Drama",Tony Scott,"Tom Cruise,Tim Robbins,Kelly McGillis,Val Kilmer",6.9,50,437764
The Northman,2022,R,137 min,"Action, Adventure, Drama",Robert Eggers,"Alexander Skarsgård,Nicole Kidman,Claes Bang,Ethan Hawke",7.1,82,190603
Strange World,2022,PG,102 min,"Animation, Action, Adventure",Don Hall,"Qui Nguyen,Jake Gyllenhaal,Jaboukie Young-White,Gabrielle Union,Dennis Quaid",5.8,66,903
Yashoda,2022,,135 min,"Action, Sci-Fi, Thriller",Haresh Narayan,"K. Hari Shankar,Samantha Ruth Prabhu,Unni Mukundan,Varalaxmi Sarathkumar,Rao Ramesh",8.6,,5599
Medieval,2022,R,126 min,"Action, Drama, History",Petr Jákl,"Ben Foster,Sophie Lowe,Michael Caine,Til Schweiger",5.9,46,4983
One Piece Film: Red,2022,PG-13,115 min,"Animation, Action, Adventure",Gorô Taniguchi,"Mayumi Tanaka,Kazuya Nakai,Akemi Okamura,Kappei Yamaguchi",6.9,69,6929
Avatar,2009,PG-13,162 min,"Action, Adventure, Fantasy",James Cameron,"Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez",7.8,83,1246167
Spider-Man: No Way Home,2021,PG-13,148 min,"Action, Adventure, Fantasy",Jon Watts,"Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon",8.3,71,745375
Lost Bullet 2: Back for More,2022,TV-MA,98 min,"Action, Crime, Thriller",Guillaume Pierret,"Alban Lenoir,Stéfi Celma,Sébastien Lalanne,Jérôme Niel",6.3,,2021
Dune,2021,PG-13,155 min,"Action, Adventure, Drama",Denis Villeneuve,"Timothée Chalamet,Rebecca Ferguson,Zendaya,Oscar Isaac",8,74,625849
Uncharted,2022,PG-13,116 min,"Action, Adventure",Ruben Fleischer,"Tom Holland,Mark Wahlberg,Antonio Banderas,Sophia Ali",6.3,45,201873
Rogue One: A Star Wars Story,2016,PG-13,133 min,"Action, Adventure, Sci-Fi",Gareth Edwards,"Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen",7.8,65,634606
Lost Bullet,2020,TV-MA,92 min,"Action, Crime, Thriller",Guillaume Pierret,"Alban Lenoir,Nicolas Duvauchelle,Ramzy Bedia,Stéfi Celma",6.3,78,11296
Avengers: Endgame,2019,PG-13,181 min,"Action, Adventure, Drama",Anthony Russo,"Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth",8.4,78,1119426
The Gray Man,2022,PG-13,122 min,"Action, Thriller",Anthony Russo,"Joe Russo,Ryan Gosling,Chris Evans,Ana de Armas,Billy Bob Thornton",6.5,49,190034
The Lost City,2022,PG-13,112 min,"Action, Adventure, Comedy",Aaron Nee,"Adam Nee,Sandra Bullock,Channing Tatum,Daniel Radcliffe,Da'Vine Joy Randolph",6.1,60,115882
Devotion,II 2022,PG-13,138 min,"Action, Drama, War",J.D. Dillard,"Jonathan Majors,Glen Powell,Christina Jackson,Thomas Sadoski",6.6,66,574
The Dark Knight,2008,PG-13,152 min,"Action, Crime, Drama",Christopher Nolan,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine",9,84,2637033
Morbius,2022,PG-13,104 min,"Action, Adventure, Horror",Daniel Espinosa,"Jared Leto,Matt Smith,Adria Arjona,Jared Harris",5.2,35,120193
John Wick,2014,R,101 min,"Action, Crime, Thriller",Chad Stahelski,"David Leitch,Keanu Reeves,Michael Nyqvist,Alfie Allen,Willem Dafoe",7.4,68,629786
Ant-Man and the Wasp: Quantumania,2023,,,"Action, Adventure, Comedy",Peyton Reed,"Paul Rudd,Evangeline Lilly,Jonathan Majors,Kathryn Newton",,,
Ambulance,2022,R,136 min,"Action, Crime, Drama",Michael Bay,"Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González,Garret Dillahunt",6.1,55,69025
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178 min,"Action, Adventure, Drama",Peter Jackson,"Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean",8.8,92,1865782
Doctor Strange in the Multiverse of Madness,2022,PG-13,126 min,"Action, Adventure, Fantasy",Sam Raimi,"Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Benedict Wong",6.9,60,405398
The Unbearable Weight of Massive Talent,2022,R,107 min,"Action, Comedy, Crime",Tom Gormican,"Nicolas Cage,Pedro Pascal,Tiffany Haddish,Sharon Horgan",7,68,82888
Untitled Indiana Jones Project,2023,,,"Action, Adventure",James Mangold,"Harrison Ford,Phoebe Waller-Bridge,Mads Mikkelsen,Antonio Banderas",,,
Jurassic World: Dominion,2022,PG-13,147 min,"Action, Adventure, Sci-Fi",Colin Trevorrow,"Chris Pratt,Bryce Dallas Howard,Laura Dern,Sam Neill",5.7,38,149595
Inception,2010,PG-13,148 min,"Action, Adventure, Sci-Fi",Christopher Nolan,"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe",8.8,74,2336780
Rorschach,2022,,150 min,"Action, Mystery, Thriller",Nissam Basheer,"Mammootty,Asif Ali,Jagadish,Bindu Panikkar",7.3,,3620
Aquaman,2018,PG-13,143 min,"Action, Adventure, Fantasy",James Wan,"Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson",6.8,55,473345
