Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Scream,I 2022,R,114 min,"Horror, Mystery, Thriller",Matt Bettinelli-Olpin,"Tyler Gillett,Neve Campbell,Courteney Cox,David Arquette,Melissa Barrera",6.3,60,111316
The VVitch: A New-England Folktale,2015,R,92 min,"Drama, Fantasy, Horror",Robert Eggers,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Julian Richings",6.9,83,263176
Run Sweetheart Run,2020,R,104 min,"Horror, Thriller",Shana Feste,"Ella Balinska,Pilou Asbæk,Clark Gregg,Shohreh Aghdashloo",5.4,51,3382
Constantine,2005,R,121 min,"Action, Fantasy, Horror",Francis Lawrence,"Keanu Reeves,Rachel Weisz,Djimon Hounsou,Shia LaBeouf",7,50,348312
Jeepers Creepers: Reborn,2022,R,88 min,"Horror, Mystery, Thriller",Timo Vuorensola,"Sydney Craven,Imran Adams,Jarreau Benjamin,Peter Brooke",2.5,,7412
It,I 2017,R,135 min,Horror,Andy Muschietti,"Bill Skarsgård,Jaeden Martell,Finn Wolfhard,Sophia Lillis",7.3,69,547520
X: The Man with the X-Ray Eyes,1963,Not Rated,79 min,"Horror, Sci-Fi, Thriller",Roger Corman,"Ray Milland,Diana Van der Vlis,Harold J. Stone,John Hoyt",6.6,,7483
Interview with the Vampire: The Vampire Chronicles,1994,R,123 min,"Drama, Fantasy, Horror",Neil Jordan,"Brad Pitt,Tom Cruise,Antonio Banderas,Kirsten Dunst",7.5,59,325428
Mr. Harrigan's Phone,2022,PG-13,104 min,"Drama, Horror, Mystery",John Lee Hancock,"Donald Sutherland,Jaeden Martell,Joe Tippett,Colin O'Brien",6,55,25805
Scream 6,2023,,,"Horror, Mystery, Thriller",Matt Bettinelli-Olpin,"Tyler Gillett,Melissa Barrera,Jenna Ortega,Courteney Cox,Jasmin Savoy Brown",,,
Hereditary,2018,R,127 min,"Drama, Horror, Mystery",Ari Aster,"Toni Collette,Milly Shapiro,Gabriel Byrne,Alex Wolff",7.3,87,315418
Alien,1979,R,117 min,"Horror, Sci-Fi",Ridley Scott,"Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright",8.5,89,879410
Men,2022,R,100 min,"Drama, Fantasy, Horror",Alex Garland,"Jessie Buckley,Rory Kinnear,Paapa Essiedu,Gayle Rankin",6.1,65,37686
The Pale Blue Eye,2022,R,128 min,"Crime, Horror, Mystery",Scott Cooper,"Christian Bale,Gillian Anderson,Lucy Boynton,Harry Melling",,,
Hocus Pocus,1993,PG,96 min,"Comedy, Family, Fantasy",Kenny Ortega,"Bette Midler,Sarah Jessica Parker,Kathy Najimy,Omri Katz",6.9,43,143098
Suspiria,I 2018,R,152 min,"Drama, Fantasy, Horror",Luca Guadagnino,"Chloë Grace Moretz,Tilda Swinton,Doris Hick,Malgorzata Bela",6.7,64,79272
Beast,I 2022,R,93 min,"Adventure, Drama, Horror",Baltasar Kormákur,"Liyabuya Gongo,Martin Munro,Daniel Hadebe,Thapelo Sebogodi",5.6,54,22902
The Chalk Line,2022,,106 min,"Horror, Mystery, Thriller",Ignacio Tatay,"Elena Anaya,Pablo Molinero,Eva Tennear,Eva Llorach",6,,4150
Old,2021,PG-13,108 min,"Drama, Horror, Mystery",M. Night Shyamalan,"Gael García Bernal,Vicky Krieps,Rufus Sewell,Alex Wolff",5.8,55,119914
The Exorcist,1973,R,122 min,Horror,William Friedkin,"Ellen Burstyn,Max von Sydow,Linda Blair,Lee J. Cobb",8.1,81,408388
