Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
Encanto,2021,PG,102 min,"Animation, Comedy, Family",Jared Bush,"Byron Howard,Charise Castro Smith,Stephanie Beatriz,María Cecilia Botero,John Leguizamo,Mauro Castillo",7.2,75,218905
Pinocchio,I 2022,PG,105 min,"Adventure, Comedy, Drama",Robert Zemeckis,"Joseph Gordon-Levitt,Tom Hanks,Benjamin Evan Ainsworth,Angus Wright",5.1,38,31593
The Santa Clause 2,2002,G,104 min,"Comedy, Family, Fantasy",Michael Lembeck,"Tim Allen,Spencer Breslin,Elizabeth Mitchell,Eric Lloyd",5.7,48,57784
The Goonies,1985,PG,114 min,"Adventure, Comedy, Family",Richard Donner,"Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldman",7.7,62,274700
Blue's Big City Adventure,2022,TV-Y,82 min,"Comedy, Family, Musical",Matt Stawski,"Joshua Dela Cruz,Steve Burns,Donovan Patton,Traci Paige Johnson",6.5,,263
The Polar Express,2004,G,100 min,"Animation, Adventure, Comedy",Robert Zemeckis,"Tom Hanks,Chris Coppola,Michael Jeter,Leslie Zemeckis",6.6,61,208463
Home Alone 2: Lost in New York,1992,PG,120 min,"Adventure, Comedy, Crime",Chris Columbus,"Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara",6.8,46,354534
Fantastic Beasts: The Secrets of Dumbledore,2022,PG-13,142 min,"Adventure, Family, Fantasy",David Yates,"Eddie Redmayne,Jude Law,Ezra Miller,Dan Fogler",6.2,47,135873
Harry Potter and the Chamber of Secrets,2002,PG,161 min,"Adventure, Family, Fantasy",Chris Columbus,"Daniel Radcliffe,Rupert Grint,Emma Watson,Richard Harris",7.4,63,633290
Harry Potter and the Goblet of Fire,2005,PG-13,157 min,"Adventure, Family, Fantasy",Mike Newell,"Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Sykes",7.7,81,624771
Roald Dahl's Matilda the Musical,2022,PG,117 min,"Comedy, Drama, Family",Matthew Warchus,"Andrea Riseborough,Emma Thompson,Lashana Lynch,Stephen Graham",5.9,68,294
The Nightmare Before Christmas,1993,PG,76 min,"Animation, Family, Fantasy",Henry Selick,"Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey",7.9,82,339627
The Grinch,2018,PG,85 min,"Animation, Comedy, Family",Yarrow Cheney,"Scott Mosier,Benedict Cumberbatch,Cameron Seely,Rashida Jones,Pharrell Williams",6.3,51,71040
Harry Potter and the Prisoner of Azkaban,2004,PG,142 min,"Adventure, Family, Fantasy",Alfonso Cuarón,"Daniel Radcliffe,Emma Watson,Rupert Grint,Richard Griffiths",7.9,82,632379
Hocus Pocus,1993,PG,96 min,"Comedy, Family, Fantasy",Kenny Ortega,"Bette Midler,Sarah Jessica Parker,Kathy Najimy,Omri Katz",6.9,43,143098
Hocus Pocus 2,2022,PG,103 min,"Comedy, Family, Fantasy",Anne Fletcher,"Bette Midler,Sarah Jessica Parker,Kathy Najimy,Whitney Peak",6,56,42654
The Princess Diaries,2001,G,115 min,"Comedy, Family, Romance",Garry Marshall,"Julie Andrews,Anne Hathaway,Hector Elizondo,Heather Matarazzo",6.3,52,147380
The Parent Trap,1998,PG,128 min,"Adventure, Comedy, Drama",Nancy Meyers,"Lindsay Lohan,Dennis Quaid,Natasha Richardson,Elaine Hendrix",6.6,64,139418
Sing,2016,PG,108 min,"Animation, Comedy, Family",Garth Jennings,"Christophe Lourdelet,Matthew McConaughey,Reese Witherspoon,Seth MacFarlane,Scarlett Johansson",7.1,59,171121
Wonka,2023,,,"Adventure, Comedy, Family",Paul King,"Timothée Chalamet,Olivia Colman,Sally Hawkins,Keegan-Michael Key",,,
Spider-Man: Into the Spider-Verse,2018,PG,117 min,"Animation, Action, Adventure",Bob Persichetti,"Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali",8.4,87,523862
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,130 min,"Adventure, Family, Fantasy",David Yates,"Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon",8.1,85,871795
Matilda,1996,PG,102 min,"Comedy, Family, Fantasy",Danny DeVito,"Danny DeVito,Rhea Perlman,Mara Wilson,Embeth Davidtz",6.9,72,153373
